"STATION","NAME","DATE","DP10","DT32","DX90","PRCP","TAVG","TMAX","TMIN"
"USC00027716","SELIGMAN, AZ US","2007-04","0","9",,"0.00",,,"35.9"
"USC00027716","SELIGMAN, AZ US","2007-05","0","2","1","0.07","62.7","81.6","43.7"
"USC00027716","SELIGMAN, AZ US","2007-06","0","0","19","0.00","70.3","91.4","49.3"
"USC00027716","SELIGMAN, AZ US","2007-07","8","0","19","4.12","77.4","94.4","60.3"
"USC00027716","SELIGMAN, AZ US","2007-08","3","0","18","2.39","74.6","90.2","59.0"
"USC00027716","SELIGMAN, AZ US","2007-09","3","0","10","1.65","66.9","84.2","49.7"
"USC00027716","SELIGMAN, AZ US","2007-10","1","6","0","0.26","56.4","75.7","37.1"
"USC00027716","SELIGMAN, AZ US","2007-11","1","16","0","0.16","50.3","69.3","31.4"
"USC00027716","SELIGMAN, AZ US","2007-12","4","29","0","3.14","36.4","51.0","21.8"
"USC00027716","SELIGMAN, AZ US","2008-01","3","27","0","1.39","35.2","47.2","23.2"
"USC00027716","SELIGMAN, AZ US","2008-02","4","26","0","1.45","41.3","57.1","25.6"
"USC00027716","SELIGMAN, AZ US","2008-03","0","26",,"0.00",,,"26.5"
"USC00027716","SELIGMAN, AZ US","2008-04","0","22","0","0.00","51.2","70.9","31.6"
"USC00027716","SELIGMAN, AZ US","2008-05","2","5","3","0.26","57.5","76.4","38.5"
"USC00027716","SELIGMAN, AZ US","2008-06","0","0","20","0.00","69.7","92.0","47.5"
"USC00027716","SELIGMAN, AZ US","2008-07","5","0","23","2.59","75.4","92.8","58.0"
"USC00027716","SELIGMAN, AZ US","2008-08","6","0","21","2.19","74.3","90.8","57.8"
"USC00027716","SELIGMAN, AZ US","2008-09","0","0","5","0.09","66.9","85.8","48.1"
"USC00027716","SELIGMAN, AZ US","2008-10","0","6","0","0.00","58.0","77.8","38.1"
"USC00027716","SELIGMAN, AZ US","2008-11","2","13","0","1.93","49.8","66.6","33.0"
"USC00027716","SELIGMAN, AZ US","2008-12","6","31","0","1.83","38.4","52.2","24.5"
"USC00027716","SELIGMAN, AZ US","2009-01","0","23","0","0.00","41.4","56.6","26.2"
"USC00027716","SELIGMAN, AZ US","2009-02","3","26","0","0.85","40.3","56.6","24.0"
"USC00027716","SELIGMAN, AZ US","2009-03","0","26","0","0.07","45.9","64.5","27.2"
"USC00027716","SELIGMAN, AZ US","2009-04","2","15","0","0.80","51.6","69.9","33.3"
"USC00027716","SELIGMAN, AZ US","2009-05","2","0","3","0.51","64.5","83.2","45.9"
"USC00027716","SELIGMAN, AZ US","2009-06","2","0","6","0.50","65.7","82.8","48.6"
"USC00027716","SELIGMAN, AZ US","2009-07","4","0","27","1.74","76.0","94.2","57.8"
"USC00027716","SELIGMAN, AZ US","2009-08","1","0","22","0.53","72.6","92.3","52.8"
"USC00027716","SELIGMAN, AZ US","2009-09","0","0","8","0.00","68.5","86.7","50.4"
"USC00027716","SELIGMAN, AZ US","2009-10","0","12","0","0.00","53.7","71.9","35.5"
"USC00027716","SELIGMAN, AZ US","2009-11","0","23","0","0.03","47.9","66.5","29.2"
"USC00027716","SELIGMAN, AZ US","2009-12","5","28","0","1.74","31.8","45.3","18.3"
"USC00027716","SELIGMAN, AZ US","2010-01","3","29","0","2.68","38.8","52.4","25.2"
"USC00027716","SELIGMAN, AZ US","2010-02","5","24","0","1.59","40.2","53.2","27.2"
"USC00027716","SELIGMAN, AZ US","2010-03","2","25","0","0.87","44.5","61.4","27.6"
"USC00027716","SELIGMAN, AZ US","2010-04","0","20","0","0.07","49.3","67.6","31.1"
"USC00027716","SELIGMAN, AZ US","2010-05","0","7","0","0.00","56.5","75.2","37.8"
"USC00027716","SELIGMAN, AZ US","2010-06","0","0","13","0.00","68.3","88.7","47.9"
"USC00027716","SELIGMAN, AZ US","2010-07","3","0","24","1.53","76.0","92.9","59.1"
"USC00027716","SELIGMAN, AZ US","2010-08","5","0","15","2.49","72.9","88.5","57.3"
"USC00027716","SELIGMAN, AZ US","2010-09","1","0","16","0.10","68.1","89.3","46.9"
"USC00027716","SELIGMAN, AZ US","2010-10","8","3","1","5.26","56.6","71.7","41.4"
"USC00027716","SELIGMAN, AZ US","2010-11","1","21","0","0.24","43.2","58.9","27.6"
"USC00027716","SELIGMAN, AZ US","2010-12","3","23","0","1.23","41.9","55.3","28.5"
"USC00027716","SELIGMAN, AZ US","2011-01","0","31","0","0.06","37.0","53.7","20.3"
"USC00027716","SELIGMAN, AZ US","2011-02","2","25","0","1.33","37.0","52.0","22.0"
"USC00027716","SELIGMAN, AZ US","2011-03","0","25","0","0.09","46.3","64.4","28.3"
"USC00027716","SELIGMAN, AZ US","2011-04","1","15","0","0.52","51.3","69.1","33.6"
"USC00027716","SELIGMAN, AZ US","2011-05","1","5","0","0.35","56.4","74.9","37.8"
"USC00027716","SELIGMAN, AZ US","2011-06","0","0","13","0.00","67.1","87.7","46.6"
"USC00027716","SELIGMAN, AZ US","2011-07","7","0","20","2.50","74.2","90.3","58.0"
"USC00027716","SELIGMAN, AZ US","2011-08","3","0","28","0.67","75.8","94.0","57.7"
"USC00027716","SELIGMAN, AZ US","2011-09","4","0","12","1.20","68.3","86.0","50.6"
"USC00027716","SELIGMAN, AZ US","2011-10","3","6","0","1.12","56.9","75.5","38.3"
"USC00027716","SELIGMAN, AZ US","2011-11","2","24","0","0.56","44.3","60.3","28.4"
"USC00027716","SELIGMAN, AZ US","2011-12","5","30","0","1.33","35.7","49.9","21.5"
"USC00027716","SELIGMAN, AZ US","2012-01","0","30","0","0.09","40.4","58.8","22.1"
"USC00027716","SELIGMAN, AZ US","2012-02","1","28","0","0.29","40.1","57.5","22.6"
"USC00027716","SELIGMAN, AZ US","2012-03","2","26","0","1.30","45.6","64.7","26.5"
"USC00027716","SELIGMAN, AZ US","2012-04","1","6","0","0.53","55.1","73.5","36.7"
"USC00027716","SELIGMAN, AZ US","2012-05","0","1","2","0.00","61.8","82.2","41.3"
"USC00027716","SELIGMAN, AZ US","2012-06","0","0","22","0.00","70.9","91.9","49.8"
"USC00027716","SELIGMAN, AZ US","2012-07","7","0","17","3.06","74.6","89.9","59.3"
"USC00027716","SELIGMAN, AZ US","2012-08","4","0","16","3.85","74.5","89.8","59.1"
"USC00027716","SELIGMAN, AZ US","2012-09","4","0","0","1.69","66.8","83.3","50.2"
