"STATION","NAME","DATE","DP10","DX32","DX90","PRCP","TAVG","TMAX","TMIN"
"USW00093919","MCCOMB AIRPORT, MS US","2015-04",10,0,0,5.93,69.7,78.4,60.9
"USW00093919","MCCOMB AIRPORT, MS US","2015-05",13,0,0,7.44,74.3,84.5,64.1
"USW00093919","MCCOMB AIRPORT, MS US","2015-06",13,0,15,4.33,79.6,89,70.2
"USW00093919","MCCOMB AIRPORT, MS US","2015-07",5,0,26,4.79,83,93.2,72.9
"USW00093919","MCCOMB AIRPORT, MS US","2015-08",7,0,23,1.77,82,93.3,70.8
"USW00093919","MCCOMB AIRPORT, MS US","2015-09",5,0,15,1.65,77.8,88.9,66.7
"USW00093919","MCCOMB AIRPORT, MS US","2015-10",4,0,7,11.54,70.2,81.8,58.7
"USW00093919","MCCOMB AIRPORT, MS US","2015-11",5,0,0,4.13,62.6,72,53.3
"USW00093919","MCCOMB AIRPORT, MS US","2015-12",13,0,0,4.35,59.4,69,49.8
"USW00093919","MCCOMB AIRPORT, MS US","2016-01",5,0,0,3.3,48.6,59.9,37.4
"USW00093919","MCCOMB AIRPORT, MS US","2016-02",5,0,0,5.68,53.6,65.9,41.4
"USW00093919","MCCOMB AIRPORT, MS US","2016-03",8,0,0,11.46,62.9,73.5,52.2
"USW00093919","MCCOMB AIRPORT, MS US","2016-04",8,0,0,4.97,66.9,77.5,56.2
"USW00093919","MCCOMB AIRPORT, MS US","2016-05",2,0,2,0.91,72.1,82.7,61.6
"USW00093919","MCCOMB AIRPORT, MS US","2016-06",5,0,19,3.13,80.8,90.4,71.2
"USW00093919","MCCOMB AIRPORT, MS US","2016-07",12,0,27,8.8,82.5,92.5,72.4
"USW00093919","MCCOMB AIRPORT, MS US","2016-08",12,0,25,8.47,82.1,90.8,73.4
"USW00093919","MCCOMB AIRPORT, MS US","2016-09",5,0,21,5.55,79.8,89.7,70
"USW00093919","MCCOMB AIRPORT, MS US","2016-10",1,0,1,0.1,71,84.4,57.6
"USW00093919","MCCOMB AIRPORT, MS US","2016-11",5,0,0,2.84,61.3,74.3,48.3
"USW00093919","MCCOMB AIRPORT, MS US","2016-12",7,0,0,6.72,55.6,65.1,46.1
"USW00093919","MCCOMB AIRPORT, MS US","2017-01",9,0,0,4.78,56.4,66.6,46.1
"USW00093919","MCCOMB AIRPORT, MS US","2017-02",6,0,0,1.57,61.6,73.3,50
"USW00093919","MCCOMB AIRPORT, MS US","2017-03",7,0,0,3.69,64.1,75,53.1
"USW00093919","MCCOMB AIRPORT, MS US","2017-04",7,0,0,5.23,68.2,80.1,56.3
"USW00093919","MCCOMB AIRPORT, MS US","2017-05",8,0,1,7.62,70.8,81.8,59.8
"USW00093919","MCCOMB AIRPORT, MS US","2017-06",11,0,5,7.04,78,86.5,69.5
"USW00093919","MCCOMB AIRPORT, MS US","2017-07",12,0,23,9.24,81.2,90.4,72
"USW00093919","MCCOMB AIRPORT, MS US","2017-08",13,0,19,7.52,80.6,88.6,72.5
"USW00093919","MCCOMB AIRPORT, MS US","2017-09",1,0,11,0.41,76.8,87.4,66.2
"USW00093919","MCCOMB AIRPORT, MS US","2017-10",6,0,1,5.46,69.2,80.1,58.2
"USW00093919","MCCOMB AIRPORT, MS US","2017-11",3,0,0,1.03,60.5,72.1,48.9
"USW00093919","MCCOMB AIRPORT, MS US","2017-12",11,0,0,5.6,50.3,60.1,40.5
"USW00093919","MCCOMB AIRPORT, MS US","2018-01",5,0,0,6.06,45.1,56.2,34.1
"USW00093919","MCCOMB AIRPORT, MS US","2018-02",9,0,0,5.59,63.5,72.8,54.2
"USW00093919","MCCOMB AIRPORT, MS US","2018-03",6,0,0,3.15,61.1,72.9,49.3
"USW00093919","MCCOMB AIRPORT, MS US","2018-04",5,0,0,5.12,62.4,75.1,49.6
"USW00093919","MCCOMB AIRPORT, MS US","2018-05",7,0,16,4.12,77.6,89.8,65.4
"USW00093919","MCCOMB AIRPORT, MS US","2018-06",8,0,24,4.74,81.5,91.6,71.3
"USW00093919","MCCOMB AIRPORT, MS US","2018-07",9,0,27,4.79,82.7,92.8,72.6
"USW00093919","MCCOMB AIRPORT, MS US","2018-08",10,0,24,3.09,81.5,91.7,71.3
"USW00093919","MCCOMB AIRPORT, MS US","2018-09",9,0,18,4.72,80.9,89.5,72.2
"USW00093919","MCCOMB AIRPORT, MS US","2018-10",4,0,6,1.99,71.8,82.1,61.6
"USW00093919","MCCOMB AIRPORT, MS US","2018-11",10,0,0,5.1,54.3,64.4,44.3
"USW00093919","MCCOMB AIRPORT, MS US","2018-12",10,0,0,7.23,52.7,62.1,43.4
"USW00093919","MCCOMB AIRPORT, MS US","2019-01",6,0,0,3.8,49.1,59.8,38.3
"USW00093919","MCCOMB AIRPORT, MS US","2019-02",9,0,0,3.6,60.1,69.5,50.7
"USW00093919","MCCOMB AIRPORT, MS US","2019-03",4,0,0,1.26,58.4,70,46.8
"USW00093919","MCCOMB AIRPORT, MS US","2019-04",7,0,0,7.96,65.3,77.1,53.5
"USW00093919","MCCOMB AIRPORT, MS US","2019-05",6,0,8,5.82,75.9,86.1,65.6
"USW00093919","MCCOMB AIRPORT, MS US","2019-06",4,0,19,1.28,79.8,90,69.5
"USW00093919","MCCOMB AIRPORT, MS US","2019-07",9,0,24,3.89,81.5,91.3,71.7
"USW00093919","MCCOMB AIRPORT, MS US","2019-08",8,0,27,11.06,82.3,92,72.6
"USW00093919","MCCOMB AIRPORT, MS US","2019-09",0,0,30,0.11,82.4,93.9,70.8
"USW00093919","MCCOMB AIRPORT, MS US","2019-10",11,0,6,10.84,70.1,80.5,59.5
"USW00093919","MCCOMB AIRPORT, MS US","2019-11",4,0,0,1.09,54.9,68.3,41.6
"USW00093919","MCCOMB AIRPORT, MS US","2019-12",4,0,0,3.26,54.1,64,44.2
"USW00093919","MCCOMB AIRPORT, MS US","2020-01",10,0,0,7.07,53.7,63.3,44
"USW00093919","MCCOMB AIRPORT, MS US","2020-02",9,0,0,6.21,54.4,65,43.8
"USW00093919","MCCOMB AIRPORT, MS US","2020-03",4,0,0,1.67,68.1,77.9,58.2
"USW00093919","MCCOMB AIRPORT, MS US","2020-04",7,0,0,8.92,66.4,78,54.8
"USW00093919","MCCOMB AIRPORT, MS US","2020-05",11,0,3,6.7,72.6,83.3,61.9
"USW00093919","MCCOMB AIRPORT, MS US","2020-06",10,0,21,8.24,79.3,89.3,69.4
"USW00093919","MCCOMB AIRPORT, MS US","2020-07",15,0,20,9.2,82.1,90.4,73.7
"USW00093919","MCCOMB AIRPORT, MS US","2020-08",6,0,24,7.73,81.2,90.8,71.6
"USW00093919","MCCOMB AIRPORT, MS US","2020-09",6,0,13,3.83,77,85.1,69
"USW00093919","MCCOMB AIRPORT, MS US","2020-10",5,0,0,4.59,69.2,79.8,58.7
"USW00093919","MCCOMB AIRPORT, MS US","2020-11",5,0,0,5.41,61.7,73,50.4
"USW00093919","MCCOMB AIRPORT, MS US","2020-12",8,0,0,3.68,50.1,62.6,37.7
"USW00093919","MCCOMB AIRPORT, MS US","2021-01",6,0,0,4.66,50.1,60.5,39.8
"USW00093919","MCCOMB AIRPORT, MS US","2021-02",6,2,0,6.73,48,58.4,37.7
"USW00093919","MCCOMB AIRPORT, MS US","2021-03",11,0,0,9.53,62.4,73.2,51.6
"USW00093919","MCCOMB AIRPORT, MS US","2021-04",11,0,0,11.05,64.5,75.7,53.2
"USW00093919","MCCOMB AIRPORT, MS US","2021-05",6,0,0,6.24,72.1,81.6,62.5
"USW00093919","MCCOMB AIRPORT, MS US","2021-06",12,0,14,8.76,79.4,88.2,70.6
"USW00093919","MCCOMB AIRPORT, MS US","2021-07",14,0,15,8.66,81.1,89.8,72.4
"USW00093919","MCCOMB AIRPORT, MS US","2021-08",10,0,22,10.2,81.3,90.5,72.2
"USW00093919","MCCOMB AIRPORT, MS US","2021-09",9,0,7,8.72,76.2,85.6,66.7
"USW00093919","MCCOMB AIRPORT, MS US","2021-10",3,0,0,1.75,71,81.2,60.9
"USW00093919","MCCOMB AIRPORT, MS US","2021-11",1,0,0,0.76,56.3,69.1,43.5
"USW00093919","MCCOMB AIRPORT, MS US","2021-12",5,0,0,3.7,61.9,72.1,51.6
"USW00093919","MCCOMB AIRPORT, MS US","2022-01",6,0,0,2.37,47.8,61,34.5
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-01",12,0,0,5.72,44.4,53.6,35.3
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-02",2,0,0,2.17,52.2,65.1,39.4
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-03",8,0,0,10.67,58,69.6,46.4
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-04",11,0,0,8.19,59.3,71.2,47.5
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-05",4,0,5,0.88,74.3,84.9,63.6
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-06",8,0,17,2.89,77.6,88,67.2
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-07",5,0,28,4.61,82.6,95,70.2
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-08",5,0,23,2.2,81.6,93.3,69.9
"USW00013876","BIRMINGHAM AIRPORT, AL US","2000-09",3,0,9,1.66,74.2,84.8,63.6
